player_name,player_id,season,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
Saben Lee,leesa01,2022,841,403,-1.346387329248478,3.069820754434435,1.723433425185957,-2.816772901695779,.054619412687596,-2.762153489008183,-1.642252334266987,2.695908500628379,1.053656166361392,.7836669708558466,.7836669708558466,0,-1.963206049428868,2.448886785350844,.4856807359219755,.203667920498995
Alex Len,lenal01,2022,1133,530,-4.577239813683214,-.6458722863570743,-5.223112100040288,-1.785455859234981,.0787848824529971,-1.706670976781984,-4.256156370369729,-.4285583358886234,-4.684714706258353,-.5250847290447435,-.5250847290447435,0,-4.787698548148868,-.7039581081692051,-5.491656656318074,.3677108581666741
Caris LeVert,leverca01,2022,2252,1102,1.4752666016764,-1.773511847415878,-.2982452457394784,3.217356593586066,-3.312390955950294,-.095034362364228,1.93418490023761,-2.185408341091437,-.2512234408538263,1.395369504621069,1.395369504621069,0,1.435396884944216,-1.779193495214718,-.3437966102705021,-.6784031714096853
Kira Lewis Jr.,lewiski01,2022,730,341,-2.105423654307978,-.9771054226702617,-3.082529076978239,-8.054587067435859,.300245077734083,-7.754341989701778,-3.429970789540191,-.7222707453396819,-4.152241534879874,-.2456377158456805,-.2456377158456805,0,-2.611762376637223,-1.981311254261704,-4.593073630898927,.6870128095115502
Scottie Lewis,lewissc01,2022,17,7,6.56052417663339,.3713167570465455,6.931840933679935,-9.971978109959432,-.5711119836007037,-10.54309009356014,3.553952018494292,.2357696184805857,3.789721636974877,.0235596770138463,.0235596770138463,0,2.172370121117728,.344116094801044,2.516486215918772,.8710627710746021
Damian Lillard,lillada01,2022,2186,1056,4.173259653778662,-2.210532403149443,1.962727250629219,2.187460751947027,-1.383422219636025,.8040385323110018,4.023735541672315,-2.134367252681709,1.889368288990607,2.515752554146211,2.515752554146211,0,5.25023092251825,-2.531119470432529,2.719111452085721,.6470369623994988
Nassir Little,littlna01,2022,2232,1088,-.2503251259429308,.6189607554391878,.3686356294962571,.7425951774360886,2.08806815826202,2.830663335698108,-.0842391444068634,1.023729162631944,.9394900182250809,2.039757255945006,2.039757255945006,0,.4119142735010506,.4689847492796465,.880899022780697,-.4032580951441367
Isaiah Livers,liveris01,2022,12,5,-26.44787131511856,12.0849393346438,-14.36293198047476,-2.534197613309233,-14.3591519154848,-16.89334952879403,-22.97372394713,7.327742314209686,-15.64598163292031,-.0359341861563792,-.0359341861563792,0,-16.80698163525012,4.764033228735761,-12.04294840651436,9.218018507624137
Kevon Looney,looneke01,2022,2174,1049,-1.720856212763314,2.179603986542638,.4587477737793249,4.812197406592745,-1.391108885658229,3.421088520934516,-.4733055692371351,1.429920597802846,.9566150285657107,1.969184068150192,1.969184068150192,0,-1.288756065351071,2.376376789321968,1.087620723970897,-.7347693216788298
Brook Lopez,lopezbr01,2022,58,28,-2.69558523320958,14.341775724898,11.64619049168842,3.804346538273915,-7.371353804334456,-3.567007266060541,-1.541820253642826,10.65272557660456,9.110905322961738,.1672653478385031,.1672653478385031,0,-.9459937848449758,9.839092770297967,8.89309898545299,-1.281820193586717
Robin Lopez,lopezro01,2022,835,409,-1.590985640617471,-3.894484875680888,-5.48547051629836,-1.150729037469528,-.9826098286461883,-2.133338866115717,-1.501531586006238,-3.488317024363886,-4.989848610370125,-.4625960614457748,-.4625960614457748,0,-3.520501484163581,-3.64133281340222,-7.161834297565799,-1.025008413963765
Didi Louzada,louzama01,2022,15,7,-12.01132416359583,-10.32673552523959,-22.33805968883542,-6.497748379181721,-10.47558806203617,-16.97333644121789,-11.4646152768569,-10.83699928982194,-22.30161456667884,-.0677390055510149,-.0677390055510149,0,-4.082046242828333,-11.12216131540146,-15.20420755822979,-2.9857704627162
Kevin Love,loveke01,2022,1906,903,4.108279227171914,1.769075641755439,5.877354868927353,-.4185265106114328,-.8788330484405935,-1.297359559052026,3.394170476093735,1.253480622165548,4.647651098259282,3.450948688374195,3.450948688374195,0,3.605989237609865,.6579345379642901,4.263923775574155,1.253330351301714
Kyle Lowry,lowryky01,2022,2730,1333,2.027531399925346,1.471798445795948,3.499329845721294,.12525514574758,1.937753196184467,2.063008341932047,1.717740488366577,1.634081043417053,3.351821531783631,4.203226141526453,4.203226141526453,0,2.137950291401221,1.905423045737883,4.043373337139104,1.285047756575249
Timothe Luwawu-Cabarrot,luwawti01,2022,934,436,-1.991491501204022,.4145695870764193,-1.576921914127603,-5.653677885322982,-1.156056142341045,-6.809734027664027,-2.906332335850274,.1484061913923454,-2.757926144457928,-.0017705773172213,-.0017705773172213,0,-3.254088756840746,-.7576661331836635,-4.01175489002441,.4207715207534204
Trey Lyles,lylestr01,2022,1878,899,-.6437866224927458,-1.818624648919725,-2.462411271412471,3.125984039948169,-1.241700722068764,1.884283317879405,.216851617234707,-1.759185219520852,-1.542333602286145,.5560385553199515,.5560385553199515,0,-.200043192258933,-1.470075627620264,-1.670118819879197,.3819398689919733
Theo Maledon,maledth01,2022,620,298,-4.932157288209502,.4420844568468097,-4.490072831362692,-8.603598592792698,-.2540201386824972,-8.857618731475196,-5.910853192492379,.3324805243339343,-5.578372668158445,-.4299240820838894,-.4299240820838894,0,-4.841862428614019,.0111922539296628,-4.830670174684356,-.0233553377615548
Sandro Mamukelashvili,mamuksa01,2022,583,282,-1.098384579527013,-5.167920385063277,-6.26630496459029,-5.066191455732969,-7.178255636118799,-12.24444709185177,-2.000478873552412,-5.914575178603144,-7.915054052155556,-.7381631048300681,-.7381631048300681,0,-1.9422811385475,-5.830103104292631,-7.772384242840132,-.6674065347514776
Terance Mann,mannte01,2022,3051,1481,-.7693144511250749,-.5162547654190494,-1.285569216544124,-1.390637746521943,-.5925433899406309,-1.983181136462574,-.9188641318640386,-.5981191065445957,-1.516983238408634,.9218450500287776,.9218450500287776,0,-1.483367490363141,-.0312467497704841,-1.514614240133625,-1.053696469863839
Tre Mann,manntr01,2022,1258,609,-2.973284133296708,-.5039450891564335,-3.477229222453142,-5.239012895797948,1.117593852601736,-4.121419043196212,-3.517646267669519,-.1947077583439965,-3.712354026013515,-.2964886526975344,-.2964886526975344,0,-4.700971222675521,-.2649729470375559,-4.965944169713077,-.8436874858864114
Boban Marjanovic,marjabo01,2022,196,95,-.7934079798565701,-1.988073973505431,-2.781481953362001,.8724912976867857,5.650509196604527,6.523000494291313,-.4725589914796244,-.6042279286422434,-1.076786920121868,.0813634833087532,.0813634833087532,0,-2.169730254225999,-.3191031166457508,-2.48883337087175,.3257351818208192
Lauri Markkanen,markkla01,2022,2350,1148,.5627988875390749,.3402706222746911,.903069509813766,5.146111632505733,-1.754659803037204,3.391451829468529,1.54616817204113,-.1478001785701973,1.398367993470933,2.418787120369014,2.418787120369014,0,1.289232964141898,.5626828939066066,1.851915858048505,-.450143771146182
Naji Marshall,marshna01,2022,567,264,-2.987117545827739,-.5544885134310729,-3.541606059258812,-7.041501262922246,3.836231548831714,-3.205269714090532,-3.980879238998348,.378313578969081,-3.602565660029267,-.1165276160633351,-.1165276160633351,0,-3.391179153552067,-1.4226457360163,-4.813824889568367,1.472480925328898
Caleb Martin,martica02,2022,1900,923,-.0638233978120864,2.941098049905099,2.877274652093012,.6928839378697329,1.082408975479899,1.775292913349632,.0545781721972285,2.692723582509937,2.747301754707166,2.581152797002128,2.581152797002128,0,.0121690681135583,3.030006055312018,3.042175123425577,-.293452319649279
Cody Martin,martico01,2022,2671,1267,.2815972491414993,1.6145922951983,1.896189544339799,2.136523687966299,-.9308492799914163,1.205674407974882,.6714825986047802,1.216203976546358,1.887686575151139,2.97048021521683,2.97048021521683,0,.6183284583086359,1.303443901507919,1.921772359816555,-.9137216774816658
Kelan Martin,martike03,2022,908,444,-1.967768103369887,-.5453702423810628,-2.51313834575095,-3.066192388916658,-.8568942653285183,-3.923086654245176,-2.330355409347025,-.6350590065999429,-2.965414415946968,-.0485684661792745,-.0485684661792745,0,-1.796162517750693,-1.284150326264974,-3.080312844015667,-.4688742565108859
Kenyon Martin Jr.,martike04,2022,1906,891,.6537654721654439,-2.422985220993784,-1.76921974882834,2.155305935271052,-2.759461233716999,-.6041552984459475,1.04710519985952,-2.55893161469068,-1.51182641483116,.5600939579244121,.5600939579244121,0,-.1593274824381355,-3.969859503092487,-4.129186985530623,-.4906161432846786
Garrison Mathews,mathega01,2022,1897,890,1.433753341089615,2.887916944777618,4.321670285867232,5.221625350810411,-2.788059600299483,2.433565750510929,2.334273661672539,1.958902811043176,4.293176472715714,3.210936377832332,3.210936377832332,0,1.632956104069941,1.383045449727276,3.016001553797217,.3992288111600834
Dakota Mathias,mathida01,2022,36,16,-.2136428252462779,-5.829521382394794,-6.043164207641071,-23.48300146993913,5.218715236056438,-18.26428623388269,-5.131489489785492,-3.926909976947967,-9.05839946673346,-.05201003330038,-.05201003330038,0,-2.612128811012901,-3.436213738681631,-6.048342549694532,.9954540854154479
Wesley Matthews,matthwe02,2022,987,464,-1.26975139779943,2.105735423003752,.8359840252043225,4.777646231838768,3.692843597411585,8.470489829250354,-.1018303002087329,2.543080395028213,2.44125009481948,1.227834922243636,1.227834922243636,0,-.9441059144149098,1.505174931439343,.561069017024433,-.0897346505286918
Tyrese Maxey,maxeyty01,2022,2992,1492,.7472048433454829,-1.253343301525062,-.5061384581795795,1.18645015442965,-1.805512425885576,-.6190622714559264,.8728705748513719,-1.463772054000783,-.5909014791494116,1.612033060189234,1.612033060189234,0,-.1326305443729505,-.7448872646119645,-.877517808984915,-1.91480454372371
Skylar Mays,mayssk01,2022,395,192,.1615263770964513,-1.791023483710269,-1.629497106613818,-.9735641576854435,-4.617442913120631,-5.591007070806074,-.0891698672042584,-2.445454479160709,-2.534624346364967,.0208729028975514,.0208729028975514,0,-.6233471076556676,-2.939313873391367,-3.562660981047035,-1.064815891896951
Miles McBride,mcbrimi01,2022,294,148,-2.067259929161651,1.370177908060394,-.6970820211012576,2.487989924258302,4.259775280037372,6.747765204295674,-1.220565309452219,2.065145840970735,.844580531518516,.2680223313747385,.2680223313747385,0,-1.33980291345843,1.350490591349484,.0106876778910541,-1.252092117999159
Mac McClung,mccluma01,2022,8,3,-11.41400630689443,-21.44932527756445,-32.86333158445888,-14.44652275001966,-4.989672658183081,-19.43619540820274,-12.85232155297481,-19.38863671196372,-32.24095826493853,-.0483147918013002,-.0483147918013002,0,-11.10733405682472,-19.93316205501057,-31.04049611183529,7.026585535563639
CJ McCollum,mccolcj01,2022,2328,1129,2.326349091081889,-.6354964933102968,1.690852597771592,2.886568281394824,-2.448558751981466,.4380095294133581,2.58493935864524,-1.001456682168346,1.583482676476894,2.495863250990507,2.495863250990507,0,3.176870965304674,-.8366577887902286,2.340213176514446,-.0116520665197147
T.J. McConnell,mccontj01,2022,1221,581,-.3735207908288786,.4695708110907506,.096050020261872,-2.011741318627997,-.0952383408227019,-2.106979659450699,-.7486574086464257,.3924534879707983,-.3562039206756275,.7059474414739819,.7059474414739819,0,-1.206089199035762,.3993464519541832,-.8067427470815787,-.5117947428982104
Jalen McDaniels,mcdanja01,2022,1451,685,-1.394989351991045,-.1659217644185549,-1.5609111164096,-.4267348030799804,2.186548447034417,1.759813643954437,-1.301517455918519,.3631356531175562,-.9383818028009625,.6305526685057027,.6305526685057027,0,-.8844896567638514,-.1708270983709113,-1.055316755134763,-.4076391379126227
Jaden McDaniels,mcdanja02,2022,2565,1215,-2.23879508379938,1.758093566991819,-.4807015168075608,-3.861652639203445,-.7067208572643262,-4.568373496467771,-2.740888563148269,1.331492371461301,-1.409396191686969,.8339068121055112,.8339068121055112,0,-1.857371360946335,1.555283409130771,-.3020879518155644,.3456048198348707
Doug McDermott,mcderdo01,2022,1878,887,.133738323408258,-4.786472246603457,-4.6527339231952,1.182726497498312,-5.006524071868667,-3.823797574370355,.3551277484278542,-5.135610476381101,-4.780482727953246,-.921223930737907,-.921223930737907,0,.6869247518822166,-5.165588688712962,-4.478663936830745,.253692791026519
JaVale McGee,mcgeeja01,2022,1490,697,.7502352729469566,2.572849858588848,3.323085131535805,-1.054201342644455,1.564819658582938,.5106183159384827,.3535962488678533,2.402788666956731,2.756384915824584,1.974167974096819,1.974167974096819,0,-.1920521241419532,2.468562209946559,2.276510085804606,.8183588042742899
Cameron McGriff,mcgrica01,2022,94,46,4.807126954504814,-5.040842998369494,-.2337160438646801,7.88929112013343,1.528481253507736,9.417772373641167,5.779821044424185,-3.855041792561781,1.924779251862404,.1087165965003158,.1087165965003158,0,3.167085415700464,-5.074304505651404,-1.90721908995094,-.9072838528474469
Rodney McGruder,mcgruro01,2022,680,324,-.427267799703842,-1.873301088679137,-2.300568888382979,3.285430896811253,2.631262167326855,5.916693064138109,.386097121344264,-.9927279038840272,-.6066307825397633,.3529016663929016,.3529016663929016,0,-1.964600147757107,-1.815968268447191,-3.780568416204297,-.3967402802544138
Alfonzo McKinnie,mckinal01,2022,406,201,-3.423778085960957,-7.402611788167274,-10.82638987412823,-.9189288194960792,-9.763087427906354,-10.68201624740243,-3.118992596208606,-8.336056850140057,-11.45504944634866,-.8837112575696602,-.8837112575696602,0,-3.48731952748469,-7.25811752515451,-10.7454370526392,-1.006086657072022
JaQuori McLaughlin,mclauja01,2022,26,11,-.760097327853211,-6.005107747847443,-6.765205075700655,-8.246825673522034,-12.02404566739345,-20.27087134091548,-2.428746344647368,-7.677353657503906,-10.10610000215127,-.0408413975123496,-.0408413975123496,0,-3.069775805967921,-7.668676891981296,-10.73845269794922,-1.070442056583762
Jordan McLaughlin,mclaujo01,2022,775,360,-1.818701230660333,-2.668986518259806,-4.487687748920138,-6.871599885521805,-.0792257324742568,-6.950825617996061,-3.018796089317523,-2.297576485030338,-5.316372574347861,-.4717336823450426,-.4717336823450426,0,-2.105422824534951,-1.436768763927698,-3.542191588462649,.0768859201108336
Ben McLemore,mclembe01,2022,1213,580,.6381332063801308,-4.113358195671016,-3.475224989290886,-4.606476507142064,.0628891816909381,-4.543587325451126,-.4301239459624249,-3.451303125866071,-3.881427071828496,-.3360521499332393,-.3360521499332393,0,.4957675436686296,-4.261389938491285,-3.765622394822656,.3712959776193449
De'Anthony Melton,meltode01,2022,2119,995,.2397029393010771,2.409302682392513,2.64900562169359,.9598175433076871,2.069526401036525,3.029343944344212,.3717524255736754,2.460172838410756,2.831925263984431,2.85537947913076,2.85537947913076,0,1.667976269008367,3.544930480180344,5.212906749188711,.7655087198825425
Sam Merrill,merrisa01,2022,120,58,-1.056508596642134,-.1032262249327559,-1.15973482157489,-6.439734107034869,-4.079031126369123,-10.51876523340399,-2.22735816106112,-.922229019708947,-3.149587180770067,-.0119211752033603,-.0119211752033603,0,-.6829311175566779,-2.235337218544107,-2.918268336100785,.8171469402655852
Chimezie Metu,metuch01,2022,1528,728,-3.55546883752757,-.099764629229372,-3.655233466756943,.4654175527091136,.2045341722583348,.6699517249674485,-2.916110944608708,.0305578514830279,-2.88555309312568,-.050332475625692,-.050332475625692,0,-1.380831657546493,-.6991685422851482,-2.080000199831641,-.0305730524397271
Khris Middleton,middlkh01,2022,2738,1277,2.40877079039707,-1.33966807375436,1.069102716642709,.2342513236593109,-.000318989437449,.2339323342218619,2.079999734340618,-1.16570749367221,.9142922406684079,2.435901654493585,2.435901654493585,0,1.930378662512507,-1.20879849658868,.7215801659238275,2.02975103360725
CJ Miles,milescj01,2022,5,2,-1.120647037865374,-41.00227857568104,-42.12292561354641,-20.66286653932369,-72.94870056936256,-93.61156710868624,-5.342234112743895,-50.34655329714631,-55.68878740989021,-.0548329081444937,-.0548329081444937,0,-4.137113059938369,-30.3631602919171,-34.50027335185548,1.505200091031976
Paul Millsap,millspa01,2022,562,270,-1.615891658909505,3.573641406949063,1.957749748039558,-6.526622492825764,2.634395771083673,-3.892226721742092,-2.776953352964749,3.569092385534288,.7921390325695397,.4875163394823611,.4875163394823611,0,-3.356559753638007,2.73210315161921,-.6244566020187974,-.0874924671507376
Patty Mills,millspa02,2022,3143,1495,1.665130917223068,-1.91819360901708,-.2530626917940126,7.384935258794449,-.1982483530830602,7.186686905711389,2.929478223537759,-1.65029900721815,1.279179216319609,3.064237224400149,3.064237224400149,0,3.369795493176368,-1.276820845937396,2.092974647238972,-.2929548485937743
Shake Milton,miltosh01,2022,1355,668,-1.40543381818172,.1440373504391202,-1.2613964677426,-3.565157669411198,2.660635350108778,-.9045223193024196,-1.949115856468682,.6672105742465615,-1.281905282222121,.4953637626270343,.4953637626270343,0,-2.131437090535801,.63342660307654,-1.498010487459261,-.9945659413568169
Davion Mitchell,mitchda01,2022,2357,1124,-.9964773566694665,-.9399616140101549,-1.936438970679621,-4.090784446910157,4.286258301402429,.1954738544922723,-1.686025252985713,.1551108320785177,-1.530914420907195,.6925663526725824,.6925663526725824,0,-2.056906288469498,-.6459061281073641,-2.702812416576863,-.9337183285778839
Donovan Mitchell,mitchdo01,2022,2793,1340,4.564655067261088,-2.121911365550594,2.442743701710495,6.297625210779109,-1.565538265030667,4.732086945748442,5.064070381637897,-2.167153963548012,2.896916418089885,3.907272142396839,3.907272142396839,0,5.573998338244424,-1.34886433799973,4.225134000244695,1.206911920642996
Evan Mobley,mobleev01,2022,2949,1447,-1.936410846396856,2.638574446777803,.7021636003809478,-3.264873906299737,3.064075808348276,-.2007980979514605,-2.343663808821566,2.815827853473311,.4721640446517457,2.35081091292989,2.35081091292989,0,-2.522421701694467,2.395957017767013,-.1264646839274537,-1.174750644746338
Malik Monk,monkma01,2022,2533,1194,1.441958244301419,-.5834914433677522,.858466800933667,2.772405693286423,.739813972005511,3.512219665291934,1.831260718678151,-.3290573328127271,1.502203385865424,2.592760485670753,2.592760485670753,0,.6096803069099117,-.8875218641992159,-.277841557289304,.092849804849276
Greg Monroe,monrogr01,2022,172,81,.4298449046581247,2.866043424011574,3.295888328669699,-3.03309257716858,3.921897156146302,.8888045789777212,-.2685348074989506,3.260318780158634,2.991783972659684,.2399526953602199,.2399526953602199,0,.0173380960901482,2.326183322983767,2.343521419073915,1.206859025237215
Moses Moody,moodymo01,2022,410,190,-5.134204303096196,-1.18448192411623,-6.318686227212426,-9.114124961246434,1.808463372460723,-7.305661588785711,-6.314430110149643,-.7145987511251811,-7.029028861274824,-.4148829057514115,-.4148829057514115,0,-4.78203277022008,-1.627225743694804,-6.409258513914883,.0198400795595257
Matt Mooney,moonema01,2022,5,2,-33.9013490286426,29.91264663426064,-3.988702394381964,-34.1821291787108,-33.1832989136885,-67.3654280923993,-36.06097876965229,18.51650561445248,-17.5444731551998,-.0175087843283379,-.0175087843283379,0,-18.60792535371585,15.8639801243168,-2.743945229399047,15.95959753170807
Xavier Moon,moonxa01,2022,179,83,-2.732339372041076,3.344055886461655,.6117165144205789,-3.766025564595293,-2.788481476868096,-6.554507041463387,-3.042934077417057,2.280479267198525,-.7624548102185327,.0833514226542897,.0833514226542897,0,-2.903105369372689,2.546857995601378,-.3562473737713114,-.9662820804638615
Ja Morant,moranja01,2022,2712,1291,5.018706502436962,-.5184480908589025,4.500258411578059,3.984550746815077,-4.290114257607899,-.3055635107928221,5.093736814124695,-1.365723140495693,3.728013673629002,4.287682883194496,4.287682883194496,0,6.15486193551512,-.5570885683075951,5.597773367207525,.4873294652411841
Juwan Morgan,morgaju01,2022,57,27,-.7553169782066886,-14.95465950235523,-15.70997648056192,-8.666635546518267,-23.51179991950553,-32.1784354660238,-2.426652470431908,-17.56049430633646,-19.98714677676836,-.2346408070081528,-.2346408070081528,0,-1.225550635854079,-12.44992090742751,-13.67547154328158,-1.180913443141228
Jaylen Morris,morrija01,2022,35,16,-14.67606859470231,1.246644864022976,-13.42942373067933,3.061997673046279,7.73318833797428,10.79518601102056,-11.81554378187051,2.759529252448637,-9.056014529421873,-.0514226254390678,-.0514226254390678,0,-9.446554258385378,-3.164573316619911,-12.61112757500529,-.1059884347788919
Markieff Morris,morrima02,2022,388,187,-1.984385251558222,-3.434995307118184,-5.419380558676406,5.576256709786119,-3.036751134725856,2.539505575060262,-.5752812382504594,-3.59153186585235,-4.166813104102809,-.135431635715782,-.135431635715782,0,-.9151582159899815,-3.746205491421816,-4.661363707411798,.1900064741007982
Marcus Morris Sr.,morrima03,2022,1645,812,.2378714338675752,-3.438057507263877,-3.200186073396302,1.111012460496364,-3.36445202406717,-2.253439563570805,.4864144376379819,-3.6692144103595,-3.182799972721519,-.177947968485277,-.177947968485277,0,.5757781645577987,-3.21101283497223,-2.635234670414432,-.753841603930358
